hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
1397,Fakhruddin Ali AhmedMedical Collegeand Hospital,"Barpeta Hospital, Jatigaon, Barpeta, Assam, 781301",339.0,781301.0,26.345941,91.039708,03665 252081,,
1398,Bhagawani Devi Prasuti Sadan,"Barpeta Road, Barpeta, Assam, 781315",339.0,781315.0,26.5016673,90.9701192,260772,,
1399,Sanjivani Hospital And Rcs Ltd,"Jania Road, Barpeta, Assam, 781315",339.0,781315.0,26.3246999,90.9888618,0,,
1400,R N B Civil Hospital,"Gossaigaon, Bongaigaon, Assam, 783360",355.0,783360.0,26.4794336,90.7414002,0,,
1401,Chilarai HospitalandResearch Centre,"Barpara,Assam,Bongaigaon, Bongaigaon, Assam, 783380",355.0,783380.0,26.2722011,90.5576962,0,,
1402,Indian Oil Corporation Limited Assam Oil Division Hospital Digboi Assam,"Oil Division Iocl (Aod),Assam,Bongaigaon, Bongaigaon, Assam, 783380",355.0,783380.0,26.4800126,90.5580387,264418,,
1403,Lower Assam Hospital And Research Centre,"North Bangaigaan Chapaguri Road North,Assam,Bongaigaon, Bongaigaon, Assam, 783380",355.0,783380.0,26.490206,90.5512687,"03664    230464, 230465",,
1404,S.M. Hospital and Diagnostic Centre,"Chapaguri Road,Assam,Bongaigaon, Bongaigaon, Assam, 783380",355.0,783380.0,26.490206,90.5512687,0,,
1405,Swagat Hospital And Research Centre,"Chapaguri Road, Opposite Reliance Mobile Office, Near North  Police Out Post,Assam,Bongaigaon, Bongaigaon, Assam, 783380",355.0,783380.0,26.4800126,90.5580387,03664  224625,,
1406,Silchar Medical College and Hospital (SMCH),"Silchar Medical College, Ghungoor, Silchar, Cachar, Assam, 788014",352.0,788014.0,24.7630479,92.7968419,"03842 234196, 03842 229110",,
1407,Arnav Memorial Hospital,"Health Centre Ellora Medicare Research Institute Club Road, Cachar, Assam, 788001",352.0,788001.0,24.75864,92.8816648,247854,,
1408,Indian Red Cross Society,"District Branch, Cachar, Assam, 788001",352.0,788001.0,24.75864,92.8816648,0,,
1409,Kay Cee Clinic and Nursing Home,"Tulapatty, Cachar, Assam, 788001",352.0,788001.0,24.75864,92.8816648,234145,,
1410,Lions Eye Hospital,"Lions Enclave , -1, Cachar, Assam, 788001",352.0,788001.0,24.75864,92.8816648,0,,
1411,Mawsumi Hospital and Research Center,"Vijayshree Complex, Trunk Road, Cachar, Assam, 788001",352.0,788001.0,18.5081985,73.7959566,0,,
1412,R . E. Nursing Home and Diagnostic,"Opposite Ghungoor Police Out Post, Cachar, Assam, 788001",352.0,788001.0,24.75864,92.8816648,0,,
1413,Siva Sundari Narisikshasram and Ante-Natal Clinic,"Park Road, Cachar, Assam, 788001",352.0,788001.0,24.75864,92.8816648,0,,
1414,Mediland Hospital and Research Centre,"Itkhola, Cachar, Assam, 788002",352.0,788002.0,24.839023,92.804768,0,,
1415,Greenview Nursing Home,"N S Avenue Hialakandi Road, Cachar, Assam, 788005",352.0,788005.0,24.6269564,92.6974538,"03842    231815, 238406, 234043",,
1416,Life Line Hospital,"N. S Avenue, Cachar, Assam, 788005",352.0,788005.0,24.75864,92.8816648,0,,
1417,Silchar Medical College and Hospital,"Ghoongur, Cachar, Assam, 788014",352.0,788014.0,24.75864,92.8816648,0,,
1418,Medinova Hospital and Research Centre,"Panchghari Road, Mehepur, Cachar, Assam, 788015",352.0,788015.0,24.75864,92.8816648,0,,
1419,South City Hospital,"Meherpur, Near Polytechnic, Cachar, Assam, 788015",352.0,788015.0,24.7854996,92.793792,0,,
1420,Valley Hospital And Research Centre Pvt Ltd,"Meherpur, Cachar, Assam, 788015",352.0,788015.0,24.7907324,92.7941654,03842    242852,,
1421,Mangaldol Poly Clinic,"Ward No -1, Mangaldoi Town, Darrang, Assam, 784125",361.0,784125.0,26.4360551,92.0353254,0,,
1422,Ghilamora CHC,"Gilamora,Assam,Dhemaji, Dhemaji, Assam, 787053",344.0,787053.0,27.5945155,94.7192098,0,,
1423,Civil Hospital,,337.0,783301.0,26.132275,90.1249962,0,,
1424,Gauripur Hospital,"G.T.B. Road, Gauripur, Dhubri, Assam, 783331",337.0,783331.0,23.5403,90.7866722,0,,
1425,Astha Hospital Dibrugarh,"A T Road Graham Bazar, Dibrugarh, Assam, 786001",346.0,786001.0,27.4885342,94.9139697,0,,
1426,Dr Damani's Nursing Home,"L G B Avenue, Near Circuit House, Dibrugarh, Assam, 786001",346.0,786001.0,26.2771678,73.0366676,0373    2300928,,
1427,Drishti Netralaya,"Amolapatty Railway Road, Dibrugarh, Assam, 786001",346.0,786001.0,27.4731221,94.8923041,0,,
